file,original pragma version,compiled version,notes
TokenId.sol,0.8.17,0.8.17,
Initializable.sol,^0.8.2,0.8.2,
IOutbox.sol,0.8.17,0.8.17,
IERC20.sol,^0.8.0,0.8.0,
AmplificationUtils.sol,0.8.17,0.8.17,
Multisend.sol,^0.8.0,0.8.0,
TypedMemView.sol,0.8.17,0.8.17,
MathUtils.sol,0.8.17,0.8.17,
BaseConnextFacet.sol,0.8.17,0.8.17,
draft-IERC20Permit.sol,^0.8.0,0.8.0,
ERC20Upgradeable.sol,^0.8.0,0.8.0,
SafeERC20.sol,^0.8.0,0.8.0,
IDiamondCut.sol,0.8.17,0.8.17,
IStableSwap.sol,0.8.17,0.8.17,
Address.sol,^0.8.1,0.8.1,
OwnableUpgradeable.sol,^0.8.0,0.8.0,
IDiamondCut_2.sol,0.8.17,0.8.17,
LibDiamond.sol,0.8.17,0.8.17,
RoutersFacet.sol,0.8.17,0.8.17,
ContextUpgradeable.sol,^0.8.0,0.8.0,
ERC20BurnableUpgradeable.sol,^0.8.0,0.8.0,
IConnectorManager.sol,0.8.17,0.8.17,
LPToken.sol,0.8.17,0.8.17,
IERC20Metadata.sol,^0.8.0,0.8.0,
Constants.sol,0.8.17,0.8.17,
LibDiamond_2.sol,0.8.17,0.8.17,
ConnextDiamond.sol,0.8.17,0.8.17,
TypeCasts.sol,0.8.17,0.8.17,
AssetLogic.sol,0.8.17,0.8.17,
IERC20MetadataUpgradeable.sol,^0.8.0,0.8.0,
AddressUpgradeable.sol,^0.8.1,0.8.1,
LibConnextStorage.sol,0.8.17,0.8.17,
IERC20Upgradeable.sol,^0.8.0,0.8.0,
SwapUtils.sol,0.8.17,0.8.17,
