file,original pragma version,compiled version,notes
Initializable.sol,>=0.4.24 <0.8.0,0.6.12,
IFlashLoanReceiver.sol,0.6.12,0.6.12,
SwapFlashLoan.sol,0.6.12,0.6.12,
IERC20.sol,>=0.6.0 <0.8.0,0.6.12,
AmplificationUtils.sol,0.6.12,0.6.12,
BoringBatchable.sol,0.6.12,0.6.12,
BridgeConfigV2.sol,0.6.12,0.6.12,
BridgeConfig.sol,0.6.12,0.6.12,
MiniChefV2.sol,0.6.12,0.6.12,
ERC20.sol,>=0.6.0 <0.8.0,0.6.12,
BridgeConfigV3.sol,0.6.12,0.6.12,
MetaSwapUtils-label.sol,0.6.12,0.6.12,
ERC20Burnable.sol,>=0.6.0 <0.8.0,0.6.12,
MathUtils.sol,0.6.12,0.6.12,
IWETH9.sol,>=0.4.0,0.6.12,
UpgradeableProxy.sol,^0.7.0,0.7.0,
TransparentUpgradeableProxy.sol,^0.7.0,0.7.0,
SwapDeployer.sol,0.6.12,0.6.12,
Ownable.sol,>=0.6.0 <0.8.0,0.6.12,
IRewarder.sol,0.6.12,0.6.12,
ERC20Upgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
SafeERC20.sol,>=0.6.0 <0.8.0,0.6.12,
Clones.sol,>=0.6.0 <0.8.0,0.6.12,
BoringMath.sol,0.6.12,0.6.12,
SafeMath.sol,>=0.6.0 <0.8.0,0.6.12,
OwnerPausableUpgradeable.sol,0.6.12,0.6.12,
MetaSwap.sol,0.6.12,0.6.12,
EIP712Upgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
Address.sol,>=0.6.2 <0.8.0,0.6.12,
AccessControlUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
ISwap.sol,0.6.12,0.6.12,
OwnableUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
PausableUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
EnumerableStringMap.sol,>=0.6.0 <0.8.0,0.6.12,
SynapseBridge_label.sol,0.6.12,0.6.12,
NerveBridgeZap.sol,0.6.12,0.6.12,
IMasterChef.sol,0.6.12,0.6.12,
TokenVesting.sol,^0.6.0,0.6.12,
ContextUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
NerveBridgeZap_1.sol,0.6.12,0.6.12,
ReentrancyGuardUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
SynapseERC20.sol,>=0.6.0 <0.8.0,0.6.12,
Proxy.sol,^0.7.0,0.7.0,
ERC20BurnableUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
IMetaSwap.sol,0.6.12,0.6.12,
SignedSafeMath.sol,0.6.12,0.6.12,
IAccessControl.sol,^0.6.0,0.6.12,
BoringERC20.sol,0.6.12,0.6.12,
EnumerableSet.sol,>=0.6.0 <0.8.0,0.6.12,
LPToken.sol,0.6.12,0.6.12,
IMetaSwap_1.sol,0.6.12,0.6.12,
IERC20PermitUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
IMetaSwapDeposit.sol,0.6.12,0.6.12,
ERC20PermitUpgradeable.sol,>=0.6.5 <0.8.0,0.6.12,
Swap.sol,0.6.12,0.6.12,
SafeMathUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
Context.sol,>=0.6.0 <0.8.0,0.6.12,
SynapseBridge.sol,0.6.12,0.6.12,
Strings.sol,^0.8.0,0.8.0,
MetaSwapDeposit.sol,0.6.12,0.6.12,
L1BridgeZap.sol,>=0.6.0 <0.8.0,0.6.12,
BoringOwnable.sol,0.6.12,0.6.12,
CountersUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
EnumerableSetUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
ISynapseBridge.sol,0.6.12,0.6.12,
PoolConfig.sol,0.6.12,0.6.12,
Multicall2.sol,>=0.5.0,0.6.12,
ERC165.sol,^0.8.0,0.8.0,
ISynapseBridge_1.sol,0.6.12,0.6.12,
TimelockController.sol,^0.8.0,0.8.0,
ERC20BurnableUpgradeable_label.sol,>=0.6.0 <0.8.0,0.6.12,
IERC165.sol,^0.8.0,0.8.0,
AddressUpgradeable.sol,>=0.6.2 <0.8.0,0.6.12,
AccessControl.sol,>=0.6.0 <0.8.0,0.6.12,
MetaSwapUtils.sol,0.6.12,0.6.12,
NodeEnv.sol,>=0.6.0 <0.8.0,0.6.12,
IERC20Upgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
CountersUpgradeable_1.sol,>=0.6.0 <0.8.0,0.6.12,
ECDSAUpgradeable.sol,>=0.6.0 <0.8.0,0.6.12,
MetaSwapDeployer.sol,0.6.12,0.6.12,
SwapUtils.sol,0.6.12,0.6.12,
