file,original pragma version,compiled version,notes
Kohi_1.sol,^0.8.0,0.8.0,
ERC721URIStorage.sol,^0.8.0,0.8.0,
IERC721Enumerable.sol,^0.8.0,0.8.0,
IERC721Metadata.sol,^0.8.0,0.8.0,
CityLights.sol,^0.8.0,0.8.0,
ERC721Enumerable_1.sol,^0.8.0,0.8.0,
ParticleV1.sol,^0.8.0,0.8.0,
IAccessControl_1.sol,^0.8.0,0.8.0,
NoiseV1.sol,^0.8.0,0.8.0,
Fix64V1.sol,^0.8.0,0.8.0,
SinLut256.sol,^0.8.0,0.8.0,
IAccessControlEnumerable.sol,^0.8.0,0.8.0,
IERC721Receiver.sol,^0.8.0,0.8.0,
AccessControlEnumerable.sol,^0.8.0,0.8.0,
AccessControl_1.sol,^0.8.0,0.8.0,
Pausable.sol,^0.8.0,0.8.0,
Counters.sol,^0.8.0,0.8.0,
RandomV1_1.sol,^0.8.0,0.8.0,
ERC721Pausable.sol,^0.8.0,0.8.0,
IERC721_1.sol,^0.8.0,0.8.0,
HatchDraw.sol,^0.8.0,0.8.0,
IERC1820Registry.sol,^0.8.0,0.8.0,
Timers.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
Context_1.sol,^0.8.0,0.8.0,
_Royalties.sol,^0.8.0,0.8.0,
Trig256_1.sol,^0.8.0,0.8.0,
GraphicsV1.sol,^0.8.0,0.8.0,
LCG64.sol,^0.8.0,0.8.0,
ERC165_1.sol,^0.8.0,0.8.0,
HatchLayer.sol,^0.8.0,0.8.0,
Arrays.sol,^0.8.0,0.8.0,
Address.sol,^0.8.0,0.8.0,
KintsugiLayer.sol,^0.8.0,0.8.0,
ERC721.sol,^0.8.0,0.8.0,
IERC721Metadata_1.sol,^0.8.0,0.8.0,
IERC1820Implementer.sol,^0.8.0,0.8.0,
TypesV1.sol,^0.8.0,0.8.0,
IERC721.sol,^0.8.0,0.8.0,
IERC721Receiver_1.sol,^0.8.0,0.8.0,
StorageSlot.sol,^0.8.0,0.8.0,
Multicall.sol,^0.8.0,0.8.0,
ERC165Checker.sol,^0.8.0,0.8.0,
WatercolorLayer.sol,^0.8.0,0.8.0,
MathV1.sol,^0.8.0,0.8.0,
GeometryV1.sol,^0.8.0,0.8.0,
RandomV1.sol,^0.8.0,0.8.0,
IAccessControl.sol,^0.8.0,0.8.0,
ParticleSetFactoryV1.sol,^0.8.0,0.8.0,
KintsugiDraw.sol,^0.8.0,0.8.0,
EnumerableSet.sol,^0.8.0,0.8.0,
EnumerableSet_1.sol,^0.8.0,0.8.0,
AccessControlEnumerable_1.sol,^0.8.0,0.8.0,
Kintsugi.sol,^0.8.0,0.8.0,
MathV1_1.sol,^0.8.0,0.8.0,
Fix64V1_1.sol,^0.8.0,0.8.0,
Create2.sol,^0.8.0,0.8.0,
ERC721Enumerable.sol,^0.8.0,0.8.0,
ERC721_1.sol,^0.8.0,0.8.0,
SinLut256_1.sol,^0.8.0,0.8.0,
ERC165Storage.sol,^0.8.0,0.8.0,
ERC1820Implementer.sol,^0.8.0,0.8.0,
Context.sol,^0.8.0,0.8.0,
Math.sol,^0.8.0,0.8.0,
Strings.sol,^0.8.0,0.8.0,
Kohi.sol,^0.8.0,0.8.0,
IERC165_1.sol,^0.8.0,0.8.0,
SinLut256_2.sol,^0.8.0,0.8.0,
ERC721Pausable_1.sol,^0.8.0,0.8.0,
IAttributes_1.sol,^0.8.0,0.8.0,
Trig256.sol,^0.8.0,0.8.0,
IAttributes.sol,^0.8.0,0.8.0,
Pausable_1.sol,^0.8.0,0.8.0,
IAccessControlEnumerable_1.sol,^0.8.0,0.8.0,
IERC721Enumerable_1.sol,^0.8.0,0.8.0,
ParticleSetV1.sol,^0.8.0,0.8.0,
Strings_1.sol,^0.8.0,0.8.0,
ERC165.sol,^0.8.0,0.8.0,
IRenderer.sol,^0.8.0,0.8.0,
IRenderer_1.sol,^0.8.0,0.8.0,
ProcessingV1.sol,^0.8.0,0.8.0,
Address_1.sol,^0.8.0,0.8.0,
IERC165.sol,^0.8.0,0.8.0,
AccessControl.sol,^0.8.0,0.8.0,
ERC721Burnable.sol,^0.8.0,0.8.0,
ERC721Burnable_1.sol,^0.8.0,0.8.0,
WatercolorDraw.sol,^0.8.0,0.8.0,
